rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
170,Appalachian State,SB,17-14,-0.58,101.1,101.7,63.2,-0.028,-3.31,106.1,109.4,3.04
171,Temple,Amer,17-15,-0.61,110.0,110.6,68.7,0.017,-0.27,106.6,106.8,-2.03
172,Florida Gulf Coast,ASun,18-14,-0.68,108.2,108.8,65.2,-0.026,-3.85,105.6,109.5,3.43
173,Nicholls,Slnd,20-13,-0.77,105.7,106.4,68.2,0.054,-1.91,104.5,106.4,8.04
174,Illinois Chicago,MVC,17-14,-0.87,107.0,107.9,69.2,0.066,1.21,107.2,106.0,2.3
175,Sam Houston State,CUSA,13-19,-0.97,110.3,111.3,67.6,-0.04,4.05,107.1,103.1,7.05
176,East Carolina,Amer,19-14,-1.09,106.9,108.0,66.7,0.039,-1.23,107.0,108.2,-5.52
177,Oakland,Horz,16-18,-1.34,107.2,108.5,63.9,-0.007,-0.26,107.4,107.7,13.75
178,Princeton,Ivy,19-11,-1.4,105.4,106.8,66.5,0.118,-1.01,107.1,108.1,-0.0
179,Jacksonville,ASun,19-13,-1.44,101.8,103.2,67.5,0.062,-2.6,107.3,110.0,6.67
180,Norfolk State,MEAC,24-10,-1.52,107.2,108.7,66.4,0.056,-7.28,103.0,110.3,2.99
181,Cal Poly,BW,16-19,-1.58,109.6,111.2,74.5,-0.006,1.38,106.4,105.0,5.01
182,Eastern Kentucky,ASun,18-14,-1.73,109.7,111.4,67.6,0.019,-2.99,105.9,108.8,4.25
183,Central Connecticut,NEC,25-7,-1.76,99.8,101.5,65.8,0.023,-11.88,100.3,112.2,-2.84
184,Boston College,ACC,12-19,-1.79,105.4,107.2,66.8,0.018,5.38,109.6,104.2,-6.79
185,Wyoming,MWC,12-20,-1.98,103.6,105.6,64.7,-0.027,4.95,109.5,104.5,-3.06
186,Montana State,BSky,15-18,-2.02,105.3,107.3,65.9,-0.063,-2.0,106.1,108.1,4.99
187,Drexel,CAA,18-15,-2.05,104.0,106.0,63.0,-0.052,-4.65,105.3,110.0,-5.26
